time_s;ndir_ppm;qcl_ppm
4220.0;23.4;24.9
4225.0;23.4;24.9
4230.0;23.7;24.9
4235.0;23.8;25.0
4240.0;22.7;24.9
4245.0;23.1;25.0
4250.0;23.2;25.0
4255.0;23.4;24.9
4260.0;23.4;25.0
4265.0;23.1;25.0
4270.0;23.2;25.0
4275.0;22.8;24.9
4280.0;23.6;24.9
4285.0;23.7;24.9
4290.0;23.6;25.0
4295.0;23.3;24.9
4300.0;23.3;24.9
4305.0;23.2;24.9
4310.0;23.4;24.9
4315.0;23.2;24.9
4320.0;23.3;25.0
4325.0;23.3;24.9
4330.0;22.9;24.9
4335.0;22.8;24.9
4340.0;23.0;25.0
4345.0;23.7;24.9
4350.0;22.8;24.9
4355.0;23.2;24.9
4360.0;23.2;24.9
4365.0;23.0;25.0
4370.0;23.8;24.9
4375.0;23.7;24.9
4380.0;23.9;25.0
4385.0;23.4;25.0
4390.0;23.5;24.9
4395.0;23.1;24.9
4400.0;22.7;25.0
4405.0;22.3;25.0
4410.0;22.9;25.0
4415.0;22.9;25.0
4420.0;23.2;25.0
4425.0;23.2;25.0
4430.0;23.6;24.9
4435.0;23.5;24.9
4440.0;23.2;24.9
4445.0;23.0;24.9
4450.0;23.8;24.9
4455.0;23.7;25.0
4460.0;23.1;25.0
4465.0;23.1;25.0
4470.0;22.8;25.0
4475.0;23.4;24.9
4480.0;23.3;25.0
4485.0;23.2;24.9
4490.0;23.3;24.9
4495.0;22.7;24.9
4500.0;23.6;24.9
4505.0;23.8;24.9
4510.0;23.8;25.0
4515.0;23.4;24.9
4520.0;23.9;24.9
4525.0;23.9;25.0
4530.0;24.1;24.9
4535.0;23.6;24.9
4540.0;23.2;25.0
4545.0;23.2;25.0
4550.0;23.4;24.9
4555.0;23.3;24.9
4560.0;23.5;24.9
4565.0;23.2;24.9
4570.0;23.4;24.9
4575.0;23.5;24.9
4580.0;23.4;24.9
4585.0;23.4;24.9
4590.0;23.4;24.9
4595.0;23.4;24.9
4600.0;23.1;25.0
4605.0;22.9;25.0
4610.0;23.4;25.0
4615.0;23.4;24.9
4620.0;23.3;24.9
4625.0;23.5;24.9
4630.0;23.2;24.9
4635.0;23.5;25.0
4640.0;23.3;24.9
4645.0;23.3;24.9
4650.0;22.8;25.0
4655.0;22.6;24.9
4660.0;23.6;24.9
4665.0;23.4;25.0
4670.0;22.6;25.0
4675.0;23.1;24.9
4680.0;23.5;25.0
