time_s;ndir_ppm;qcl_ppm
8335.0;24.8;25.1
8340.0;25.1;25.0
8345.0;24.9;25.0
8350.0;24.0;25.0
8355.0;24.4;25.0
8360.0;24.6;25.0
8365.0;24.5;25.1
8370.0;24.3;25.0
8375.0;24.6;25.0
8380.0;24.6;24.9
8385.0;24.3;24.9
8390.0;24.5;25.1
8395.0;24.8;25.1
8400.0;24.8;25.1
